station_id,station_name,season,pm25_mean,pm10_mean,no2_mean,pm25_median,pm10_median,no2_median,record_count
STN_001,Alipur,monsoon,29.657826086956522,77.81597826086956,18.882282608695654,27.335,73.865,18.905,92
STN_001,Alipur,post_monsoon,165.48049180327868,326.83180327868854,53.13426229508197,161.75,342.5,59.38,61
STN_001,Alipur,summer,76.84254098360657,198.08442622950818,31.127704918032787,71.56,190.22500000000002,27.435,122
STN_001,Alipur,winter,158.7013333333333,270.33644444444445,49.69655555555555,152.35500000000002,264.565,48.685,90
STN_002,Anand Vihar,monsoon,49.62141304347826,135.84315217391304,36.24913043478261,48.555,113.49000000000001,35.8,92
STN_002,Anand Vihar,post_monsoon,195.82147540983607,402.797868852459,79.17655737704918,215.97,444.04,81.65,61
STN_002,Anand Vihar,summer,71.92819672131148,213.55237704918034,66.57581967213115,68.06,207.135,65.24000000000001,122
STN_002,Anand Vihar,winter,216.1478409090909,359.9129213483146,84.432,200.58999999999997,336.69,79.785,90
STN_003,Ashok Vihar,monsoon,35.91304347826087,92.50641304347826,24.09989130434783,34.730000000000004,90.725,24.835,92
STN_003,Ashok Vihar,post_monsoon,191.24508196721314,320.35770491803277,63.293606557377046,198.36,341.17,59.09,61
STN_003,Ashok Vihar,summer,73.76967213114754,201.20278688524593,41.759098360655734,68.375,199.125,39.11,122
STN_003,Ashok Vihar,winter,188.6581111111111,320.9561111111111,63.08111111111111,169.72500000000002,292.31,61.56,90
STN_004,Aya Nagar,monsoon,26.91717391304348,76.07054347826087,19.352967032967033,23.134999999999998,71.255,17.17,92
STN_004,Aya Nagar,post_monsoon,130.61934426229507,283.663606557377,42.107213114754096,121.07,260.92,37.09,61
STN_004,Aya Nagar,summer,61.37844262295082,176.32254098360656,32.18450819672131,58.065,170.355,31.18,122
STN_004,Aya Nagar,winter,112.14711111111112,214.50033333333332,34.97544444444444,104.735,171.48,30.81,90
STN_005,Bawana,monsoon,39.42576086956522,83.58163043478261,8.59141304347826,36.739999999999995,78.92500000000001,8.125,92
STN_005,Bawana,post_monsoon,217.3060655737705,306.3726229508197,31.520819672131147,223.46,309.25,31.35,61
STN_005,Bawana,summer,87.31213114754098,197.88245901639345,20.621639344262295,77.96,187.95999999999998,19.69,122
STN_005,Bawana,winter,194.2831111111111,280.00444444444446,30.901333333333334,189.07999999999998,273.74,28.695,90
STN_006,Burari Crossing,monsoon,30.35792682926829,65.26121951219513,24.343780487804878,29.24,67.37,24.924999999999997,92
STN_006,Burari Crossing,post_monsoon,181.01868852459015,294.22868852459015,43.87409836065574,173.12,294.35,33.27,61
STN_006,Burari Crossing,summer,61.53916666666667,155.1383193277311,31.2955,55.96,155.03,35.79,122
STN_006,Burari Crossing,winter,147.91755555555557,259.1978888888889,39.922555555555554,134.655,236.70999999999998,19.37,90
STN_007,CRRI Mathura Road,monsoon,27.736304347826085,103.04206521739131,19.390869565217393,27.049999999999997,96.845,16.955,92
STN_007,CRRI Mathura Road,post_monsoon,157.4565573770492,310.7881967213115,32.25639344262295,155.51,330.02,30.04,61
STN_007,CRRI Mathura Road,summer,63.73008196721311,197.1783606557377,48.33581967213115,61.51,204.505,41.97,122
STN_007,CRRI Mathura Road,winter,144.20055555555555,274.356,47.50966666666667,140.685,262.875,43.94,90
STN_009,Chandni Chowk,monsoon,37.641666666666666,85.75719101123596,39.263483146067415,37.105000000000004,85.36,34.32,92
STN_009,Chandni Chowk,post_monsoon,165.22964912280702,360.969649122807,36.89157894736842,175.59,370.92,34.02,61
STN_009,Chandni Chowk,summer,70.22884297520662,133.34466666666668,63.23752380952381,67.46,127.28,58.82,122
STN_009,Chandni Chowk,winter,153.6641379310345,316.3805681818182,64.43329411764705,128.27,288.96000000000004,61.67,90
STN_010,Commonwealth Sports Complex,monsoon,,,,,,,92
STN_010,Commonwealth Sports Complex,post_monsoon,,,,,,,61
STN_010,Commonwealth Sports Complex,summer,,,,,,,122
STN_010,Commonwealth Sports Complex,winter,,,,,,,90
STN_011,DTU,monsoon,22.807717391304347,89.98554054054054,39.44191011235955,22.255000000000003,85.07499999999999,42.51,92
STN_011,DTU,post_monsoon,127.1655737704918,268.1649180327869,46.712786885245905,96.61,274.1,47.37,61
STN_011,DTU,summer,50.020250000000004,206.02578512396693,32.743442622950816,47.91,203.87,35.855000000000004,122
STN_011,DTU,winter,130.79466666666667,286.3041111111111,42.17622222222222,81.35,274.855,41.394999999999996,90
STN_012,Dr. Karni Singh Shooting Range,monsoon,27.71771739130435,75.5716304347826,31.56782608695652,26.17,73.85499999999999,30.745,92
STN_012,Dr. Karni Singh Shooting Range,post_monsoon,156.672131147541,265.5388524590164,68.15737704918034,150.54,260.17,68.36,61
STN_012,Dr. Karni Singh Shooting Range,summer,56.37330578512397,162.4318181818182,42.11289256198347,53.67,160.54,42.78,122
STN_012,Dr. Karni Singh Shooting Range,winter,161.97733333333332,250.23633333333333,65.62033333333333,158.5,238.835,63.599999999999994,90
STN_013,Dwarka-Sector 8,monsoon,31.858695652173914,108.53782608695651,33.15869565217391,30.494999999999997,107.79499999999999,32.985,92
STN_013,Dwarka-Sector 8,post_monsoon,163.44754098360656,325.63573770491803,75.67573770491803,164.0,340.42,78.29,61
STN_013,Dwarka-Sector 8,summer,70.05696721311476,198.74516393442622,49.306393442622955,67.72999999999999,199.83,47.285,122
STN_013,Dwarka-Sector 8,winter,172.49466666666666,280.7825555555556,74.70133333333334,164.525,275.92,72.73500000000001,90
STN_014,IGI Airport (T3),monsoon,29.036388888888887,95.97208333333333,50.71763888888889,26.795,94.44,50.41,92
STN_014,IGI Airport (T3),post_monsoon,121.47459016393442,287.13573770491803,127.41786885245901,119.13,297.73,128.35,61
STN_014,IGI Airport (T3),summer,54.92632653061224,150.84540816326532,62.0430612244898,52.425,149.61,61.739999999999995,122
STN_014,IGI Airport (T3),winter,120.91033333333334,245.47655555555554,58.60944444444445,115.6,231.26,53.68,90
