station_id,station_name,network,n_days,date_min,date_max,PM2.5 (µg/m³)_mean,PM2.5 (µg/m³)_median,PM2.5 (µg/m³)_max,PM2.5 (µg/m³)_missing_pct,PM10 (µg/m³)_mean,PM10 (µg/m³)_median,PM10 (µg/m³)_max,PM10 (µg/m³)_missing_pct,NO (µg/m³)_mean,NO (µg/m³)_median,NO (µg/m³)_max,NO (µg/m³)_missing_pct,NO2 (µg/m³)_mean,NO2 (µg/m³)_median,NO2 (µg/m³)_max,NO2 (µg/m³)_missing_pct,NOx (ppb)_mean,NOx (ppb)_median,NOx (ppb)_max,NOx (ppb)_missing_pct,NH3 (µg/m³)_mean,NH3 (µg/m³)_median,NH3 (µg/m³)_max,NH3 (µg/m³)_missing_pct,SO2 (µg/m³)_mean,SO2 (µg/m³)_median,SO2 (µg/m³)_max,SO2 (µg/m³)_missing_pct,CO (mg/m³)_mean,CO (mg/m³)_median,CO (mg/m³)_max,CO (mg/m³)_missing_pct,Ozone (µg/m³)_mean,Ozone (µg/m³)_median,Ozone (µg/m³)_max,Ozone (µg/m³)_missing_pct,Benzene (µg/m³)_mean,Benzene (µg/m³)_median,Benzene (µg/m³)_max,Benzene (µg/m³)_missing_pct,Toluene (µg/m³)_mean,Toluene (µg/m³)_median,Toluene (µg/m³)_max,Toluene (µg/m³)_missing_pct
STN_016,"IHBAS, Dilshad Garden",CPCB,365,2025-01-01,2025-12-31,74.73304709141274,65.0,382.8,1.095890410958904,160.05537396121886,142.97,456.31,1.095890410958904,13.307479224376731,12.21,74.13,1.095890410958904,44.712077562326876,39.38,204.62,1.095890410958904,34.28792243767313,30.43,143.13,1.095890410958904,30.393434903047094,25.77,150.77,1.095890410958904,13.09836565096953,12.03,54.53,1.095890410958904,1.2462603878116343,1.21,3.14,1.095890410958904,21.219418282548475,20.72,56.62,1.095890410958904,2.6990858725761773,2.29,13.88,1.095890410958904,5.1340443213296405,3.6,42.94,1.095890410958904
STN_017,IIT Delhi,IITM,61,2025-11-01,2025-12-31,159.85032258064516,146.53,275.37,49.18032786885246,261.9145161290323,248.49,413.6,49.18032786885246,58.84935483870967,44.5,245.02,49.18032786885246,57.10935483870967,51.06,197.11,49.18032786885246,73.76774193548387,67.84,226.76,49.18032786885246,,,,100.0,,,,100.0,1.2593548387096771,1.31,2.26,49.18032786885246,16.898,16.700000000000003,26.98,50.81967213114754,,,,100.0,,,,100.0
STN_018,IMD Lodhi Road,IITM,365,2025-01-01,2025-12-31,86.09718543046357,66.60499999999999,302.09,17.26027397260274,182.2054966887417,171.35500000000002,498.16,17.26027397260274,31.515860927152314,16.6,250.69,17.26027397260274,35.97623076923077,22.265,237.35,28.767123287671232,42.341788079470206,25.54,269.29,17.26027397260274,,,,100.0,,,,100.0,0.8320265780730896,0.7,2.42,17.534246575342465,41.8678073089701,38.37,229.55,17.534246575342465,0.0,0.0,0.0,75.34246575342466,0.0,0.0,0.0,75.34246575342466
STN_019,ITO,CPCB,365,2025-01-01,2025-12-31,101.46334269662921,71.72,424.65,2.4657534246575343,160.31772471910114,137.44,593.09,2.4657534246575343,20.807362637362637,19.985,43.43,0.273972602739726,68.34302197802198,66.685,201.3,0.273972602739726,53.12736263736264,52.105000000000004,154.85,0.273972602739726,28.219093406593405,24.405,73.43,0.273972602739726,13.733516483516484,13.26,28.27,0.273972602739726,1.3696153846153847,1.26,3.7,0.273972602739726,20.32239010989011,18.32,73.33,0.273972602739726,2.4833791208791207,2.52,3.0,0.273972602739726,,,,100.0
STN_021,Jahangirpuri,DPCC,365,2025-01-01,2025-12-31,130.80284931506847,94.92,643.0,0.0,262.51575342465753,241.25,792.0,0.0,31.678301369863014,20.56,187.07,0.0,50.48282191780822,41.39,278.75,0.0,52.56112328767124,37.26,216.15,0.0,34.70830136986301,35.75,84.71,0.0,14.575917808219177,11.99,63.48,0.0,1.6278904109589043,1.45,4.95,0.0,36.440082191780824,35.91,97.12,0.0,3.37309589041096,1.96,20.95,0.0,20.343753424657532,8.45,105.68,0.0
STN_022,Jawaharlal Nehru Stadium,DPCC,365,2025-01-01,2025-12-31,82.61283746556474,48.42,375.12,0.547945205479452,189.453021978022,167.19,609.38,0.273972602739726,41.619230769230775,21.84,201.33,0.273972602739726,60.645934065934064,56.629999999999995,138.2,0.273972602739726,64.84505494505495,49.349999999999994,217.16,0.273972602739726,39.09043956043956,34.81,98.37,0.273972602739726,10.916703296703297,9.99,28.61,0.273972602739726,1.8187465181058498,1.38,9.02,1.643835616438356,40.80546703296704,41.370000000000005,93.9,0.273972602739726,2.1034340659340662,0.875,22.99,0.273972602739726,23.565494505494506,13.925,143.55,0.273972602739726
STN_020,JNU,DPCC,365,2025-01-01,2025-12-31,,,,100.0,,,,100.0,,,,100.0,,,,100.0,,,,100.0,,,,100.0,,,,100.0,,,,100.0,,,,100.0,,,,100.0,,,,100.0
STN_018,IMD Lodhi Road,IITM,365,2025-01-01,2025-12-31,75.34048710601719,65.16,424.28,4.383561643835616,144.42644699140402,129.83,427.61,4.383561643835616,,,,100.0,63.107478005865104,62.09,179.06,6.575342465753424,,,,100.0,,,,100.0,16.229083094555875,13.67,42.65,4.383561643835616,,,,100.0,,,,100.0,0.0,0.0,0.0,59.45205479452055,,,,100.0
STN_023,Major Dhyan Chand National Stadium,DPCC,365,2025-01-01,2025-12-31,90.16117808219178,65.79,349.12,0.0,173.74903846153845,158.47500000000002,510.71,0.273972602739726,41.89509589041096,20.15,250.85,0.0,52.26416438356164,50.05,121.51,0.0,61.483534246575346,45.19,241.95,0.0,65.72744505494505,65.525,123.85,0.273972602739726,10.698571428571428,9.09,42.05,0.273972602739726,1.0913150684931507,0.92,5.78,0.0,40.16501369863014,39.05,99.03,0.0,1.9264931506849317,1.66,8.12,0.0,13.341835616438358,10.02,58.04,0.0
STN_024,Mandir Marg,DPCC,365,2025-01-01,2025-12-31,84.93214285714285,60.09,313.33,0.273972602739726,153.515397260274,128.25,478.67,0.0,33.34467032967033,19.595,238.13,0.273972602739726,55.919449035812676,37.11,170.69,0.547945205479452,56.25578512396694,39.03,261.7,0.547945205479452,37.170661157024796,32.35,142.97,0.547945205479452,19.15052486187845,11.045,126.18,0.821917808219178,1.0956868131868134,0.865,3.37,0.273972602739726,39.4734794520548,37.6,158.17,0.0,6.3475490196078415,4.41,24.25,72.05479452054794,39.32686274509804,25.61,174.79,72.05479452054794
STN_025,Mundka,DPCC,365,2025-01-01,2025-12-31,114.845698630137,82.09,597.67,0.0,267.9492602739726,267.04,748.22,0.0,23.09323287671233,12.41,206.49,0.0,48.18465753424658,42.21,119.08,0.0,43.93731506849315,31.28,232.21,0.0,34.91572602739726,32.99,116.95,0.0,11.971232876712328,8.92,77.02,0.0,0.9009589041095889,0.72,5.39,0.0,33.79621917808219,32.09,88.54,0.0,2.2279889807162534,1.59,19.19,0.547945205479452,48.99363636363637,40.52,247.2,0.547945205479452
STN_028,Najafgarh,DPCC,365,2025-01-01,2025-12-31,79.7246301369863,63.43,320.17,0.0,142.51657534246576,135.78,404.17,0.0,10.497972602739727,8.01,59.58,0.0,51.92112328767123,52.03,119.54,0.0,36.034246575342465,35.95,90.29,0.0,34.092520547945206,34.18,90.08,0.0,13.322845303867403,11.425,59.65,0.821917808219178,0.9247671232876714,0.84,3.08,0.0,44.89112328767124,32.37,127.75,0.0,1.1879726027397257,0.22,15.39,0.0,3.2671506849315066,0.3,55.51,0.0
STN_029,Narela,DPCC,365,2025-01-01,2025-12-31,109.10400000000001,82.19,441.92,0.0,205.85238356164388,184.83,614.78,0.0,16.397150684931507,10.38,73.78,0.0,23.884438356164384,22.58,72.42,0.0,26.066712328767125,21.39,91.43,0.0,37.57649315068493,31.73,82.24,0.0,9.751298342541435,8.14,32.23,0.821917808219178,1.0872602739726027,1.0,3.7,0.0,34.93906077348066,29.380000000000003,156.61,0.821917808219178,2.7118082191780823,1.99,13.45,0.0,142.13816438356167,125.77,407.23,0.0
STN_030,Nehru Nagar,DPCC,365,2025-01-01,2025-12-31,109.87758904109587,69.4,428.88,0.0,201.48660273972598,180.75,612.0,0.0,29.66739726027397,13.76,182.47,0.0,38.04413698630137,36.46,78.33,0.0,44.08920547945206,29.93,184.48,0.0,33.957252747252745,30.095,162.42,0.273972602739726,12.16972602739726,11.0,45.31,0.0,1.1629670329670327,0.685,5.98,0.273972602739726,60.60695890410959,56.92,131.04,0.0,0.9655890410958906,0.17,6.23,0.0,6.9331232876712345,1.79,43.05,0.0
STN_031,"North Campus, DU",IITM,365,2025-01-01,2025-12-31,94.28139726027399,66.94,438.02,0.0,193.21150684931507,178.02,584.56,0.0,27.658273972602743,15.21,199.16,0.0,44.37553424657534,34.91,143.17,0.0,37.16824657534247,25.23,204.78,0.0,,,,100.0,,,,100.0,1.4972876712328766,1.22,5.54,0.0,48.68328767123288,40.32,306.44,0.0,0.0,0.0,0.0,56.71232876712329,0.0,0.0,0.0,56.71232876712329
STN_026,NSIT Dwarka,CPCB,365,2025-01-01,2025-12-31,72.99682191780822,70.13,243.35,0.0,165.37230555555556,156.535,536.26,1.36986301369863,12.245260273972605,9.83,42.75,0.0,44.423945205479455,43.79,81.48,0.0,33.678438356164385,30.57,76.04,0.0,44.56147945205479,42.9,144.26,0.0,12.119205479452056,11.18,57.07,0.0,1.2426301369863013,1.09,5.0,0.0,23.267616438356164,21.98,69.35,0.0,2.322520547945206,2.17,14.48,0.0,3.7664383561643837,3.39,64.12,0.0
STN_027,NSUT Jaffarpur,DPCC,365,2025-01-01,2025-12-31,,,,100.0,,,,100.0,,,,100.0,,,,100.0,,,,100.0,,,,100.0,,,,100.0,,,,100.0,,,,100.0,,,,100.0,,,,100.0
STN_032,Okhla Phase-2,DPCC,365,2025-01-01,2025-12-31,95.75254794520548,63.62,429.44,0.0,214.38698630136986,193.86,593.71,0.0,36.13184573002756,18.63,205.64,0.547945205479452,59.290330578512396,46.81,192.24,0.547945205479452,60.95261707988981,40.86,258.7,0.547945205479452,42.8799173553719,38.24,133.91,0.547945205479452,10.25345205479452,9.49,31.88,0.0,1.5116164383561643,1.52,3.59,0.0,51.587260273972596,48.01,150.11,0.0,1.5008219178082192,1.22,7.22,0.0,13.309095890410958,10.0,57.86,0.0
