country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"IGNOU_Maidan Garhi, Delhi - DPCC","11-07-2026 18:00:00",28.493624,77.201159,PM10,64,281,118
India,Delhi,Delhi,"IGNOU_Maidan Garhi, Delhi - DPCC","11-07-2026 18:00:00",28.493624,77.201159,CO,26,28,27
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","11-07-2026 18:00:00",28.656756,77.227234,PM2.5,29,130,68
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC","11-07-2026 18:00:00",28.636429,77.201067,PM2.5,20,210,77
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC","11-07-2026 18:00:00",28.636429,77.201067,NO2,NA,NA,NA
India,Delhi,Delhi,"Talkatora Garden, Delhi - DPCC","11-07-2026 18:00:00",28.62181,77.1944633,NH3,3,9,5
India,Delhi,Delhi,"Commonwealth Sports Complex, Delhi - DPCC","11-07-2026 18:00:00",28.615828,77.271992,PM10,47,285,125
India,Delhi,Delhi,"Commonwealth Sports Complex, Delhi - DPCC","11-07-2026 18:00:00",28.615828,77.271992,CO,NA,NA,NA
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","11-07-2026 18:00:00",28.674045,77.131023,PM10,94,405,176
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","11-07-2026 18:00:00",28.674045,77.131023,NH3,3,5,3
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","11-07-2026 18:00:00",28.674045,77.131023,SO2,7,58,41
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","11-07-2026 18:00:00",28.6514781,77.1473105,OZONE,32,38,35
India,Delhi,Delhi,"IGNOU_Maidan Garhi, Delhi - DPCC","11-07-2026 18:00:00",28.493624,77.201159,OZONE,9,11,11
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IITM","11-07-2026 18:00:00",28.5627763,77.1180053,NO2,38,102,53
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IITM","11-07-2026 18:00:00",28.5627763,77.1180053,NH3,NA,NA,NA
India,Delhi,Delhi,"Sirifort, Delhi - CPCB","11-07-2026 18:00:00",28.5504249,77.2159377,NH3,1,8,5
India,Delhi,Delhi,"Sirifort, Delhi - CPCB","11-07-2026 18:00:00",28.5504249,77.2159377,SO2,20,25,21
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","11-07-2026 18:00:00",28.656756,77.227234,NH3,6,15,9
India,Delhi,Delhi,"IMD Lodhi Road, Delhi - IITM","11-07-2026 18:00:00",28.5918245,77.2273074,PM2.5,20,165,60
India,Delhi,Delhi,"Narela, Delhi - DPCC","11-07-2026 18:00:00",28.822836,77.101981,PM10,69,401,162
India,Delhi,Delhi,"Narela, Delhi - DPCC","11-07-2026 18:00:00",28.822836,77.101981,OZONE,11,27,18
India,Delhi,Delhi,"JNU, Delhi - DPCC","11-07-2026 18:00:00",28.540721,77.168544,OZONE,36,49,45
India,Delhi,Delhi,"Aya Nagar, Delhi - IITM","11-07-2026 18:00:00",28.4706914,77.1099364,NH3,NA,NA,NA
India,Delhi,Delhi,"Aya Nagar, Delhi - IITM","11-07-2026 18:00:00",28.4706914,77.1099364,CO,16,24,19
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","11-07-2026 18:00:00",28.60909,77.0325413,NO2,14,72,39
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","11-07-2026 18:00:00",28.60909,77.0325413,OZONE,16,46,26
India,Delhi,Delhi,"NSUT Jaffarpur, Delhi - DPCC","11-07-2026 18:00:00",28.594004,76.909423,PM10,44,245,103
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","11-07-2026 18:00:00",28.611281,77.237738,PM2.5,10,150,61
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","11-07-2026 18:00:00",28.611281,77.237738,CO,6,14,12
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","11-07-2026 18:00:00",28.710508,77.249485,OZONE,9,13,11
India,Delhi,Delhi,"Bawana, Delhi - DPCC","11-07-2026 18:00:00",28.7762,77.051074,PM2.5,27,143,81
India,Delhi,Delhi,"Bawana, Delhi - DPCC","11-07-2026 18:00:00",28.7762,77.051074,PM10,85,370,174
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","11-07-2026 18:00:00",28.56789,77.250515,PM10,48,355,164
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","11-07-2026 18:00:00",28.56789,77.250515,NO2,20,50,32
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","11-07-2026 18:00:00",28.623763,77.287209,PM10,57,381,163
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","11-07-2026 18:00:00",28.623763,77.287209,OZONE,16,33,27
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","11-07-2026 18:00:00",28.6811736,77.3025234,NO2,18,19,19
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","11-07-2026 18:00:00",28.531346,77.190156,OZONE,15,30,23
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC","11-07-2026 18:00:00",28.530785,77.271255,PM2.5,15,92,51
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC","11-07-2026 18:00:00",28.530785,77.271255,PM10,51,354,154
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC","11-07-2026 18:00:00",28.530785,77.271255,NO2,19,63,36
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC","11-07-2026 18:00:00",28.530785,77.271255,CO,18,31,25
India,Delhi,Delhi,"Rohini, Delhi - DPCC","11-07-2026 18:00:00",28.732528,77.11992,PM10,51,409,181
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","11-07-2026 18:00:00",28.672342,77.31526,PM10,69,407,179
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","11-07-2026 18:00:00",28.695381,77.181665,NH3,5,10,7
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","11-07-2026 18:00:00",28.695381,77.181665,CO,37,42,39
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","11-07-2026 18:00:00",28.5710274,77.0719006,CO,19,33,24
India,Delhi,Delhi,"DTU, Delhi - CPCB","11-07-2026 18:00:00",28.7500499,77.1112615,PM2.5,29,98,66
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","11-07-2026 18:00:00",28.563262,77.186937,NH3,5,6,5
India,Delhi,Delhi,"North Campus, DU, Delhi - IITM","11-07-2026 18:00:00",28.6573814,77.1585447,NH3,NA,NA,NA
